Date,Authors,Title,Journal,PDF,Notes,Preprint_platform,Preprint_link
01/01/2016,"*Ito, A., Corley, M., Pickering, M., Martin, A. E., & Nieuwland, M. S. ",Predicting form and meaning: Evidence from brain potentials,Journal of Memory and Language,https://pdf.sciencedirectassets.com/272580/1-s2.0-S0749596X15X00076/1-s2.0-S0749596X15001242/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjECkaCXVzLWVhc3QtMSJHMEUCIFiOoe7h4Cl21JQ%2F3UmPgzmnuFBr%2BWZ1VTeC7rMmI4yhAiEAxTMvfJhBxXvxw63g45WBfyGT%2Bh2%2Bccd06Zuz7UkLtR8qvQMI8f%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARADGgwwNTkwMDM1NDY4NjUiDHZtzf31RqS1XBJHtCqRAxv%2Btr%2BuRrM5mcbyYO6UzPuYvqmfPQ3VoPKKJE0BmE8blkDZ9oqOsxb5L2it4kmQ2covpASeLt386tQgZACGEbq6bIeI5U%2B1aOsM7hIFSUyjDecfSHeetenUVysXyGFtqOKlE0Ouz6F8RLibeXSCpH0LgwDEgrfU42FL2HyYLUEVdbc41bIk8h88sZQeWYw%2Ba0PMe2BOAM5ACZ9L2JakgN%2BtxHKWCmdKkLUxdPnkGzu%2B%2FzUMBFYgptub2Y5C0MEq60Bcl0lTCP6hvKU%2B91DTA5SdLsMOtw8zDMudc8eJvj6IZbD6lYLSJAb1WeXlHWxbz%2FvmkjKR6ZFfs4b6NqAedBOnxenmGJ%2BSuA4oiUbPQE%2B%2B5%2Fs3HN9ZQiQKcquyltYmoaAnh%2FyIUQuJxjYwukV3yMtqGv5HKo1cDM0Q8lxedr%2Bsn2hoimNRgw%2BIwt%2FIBqq3dnBT8IJudIt3wgVXEC613aIs3m1D0j1ebBjg9Jo29k7M3SmEInmqTTknLTgu75KQu%2B5cNmMX86XPZYZ2UuLwDGvtMK%2FegYAGOusBawkWRr8xP3ejhlzDXsdExmewu%2F6pxHaxNVZJPp1OnXdtWX8tFULh9EN15TuY6zE6eK5%2B%2BdhKzj3oLiP%2F5UWWYfimoo647bySRmqJJ9hLLcsPlMwD4UHDX9k4P767Wd4mRSfppPSK7sBEep7q4%2Bs5q9Sy1dcJ3XqMBfz8A5wEyB2BGAZpVLqAE7MswlE1%2BenPdf9vk86sWHYgbBvMFt0RlDp8fkckVxUljvtb11tvYh7SSdqM209qMYjzftLwKRGfuxYHRxggf65zyqmFu%2BB8DJDct%2FAMmqLJRQ9kBlmGamg2MFjagzLtpoHYzw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210114T172928Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY5FW5CKEE%2F20210114%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=c1e6d4ab16e1f65887e27e17e3b35192708080896794bed0d9c0f612724b778b&hash=40f1fa5c79df1553232fcb03dbcda469953656535ebb74d762a31ce63f9c5a41&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0749596X15001242&tid=spdf-7306cb91-8ed1-4682-b344-54c495756d26&sid=d21c76242cb1f04c189950d3298b39b2f023gxrqb&type=client,,,
01/01/2019,"Martin, A. E. & Doumas, L. A. A.",Predicate learning in neural systems: Using oscillations to discover latent structure,Current Opinion in Behavioral Sciences,https://pure.mpg.de/rest/items/item_3058563_1/component/file_3058564/content,,,
01/01/2018,"Martin, A. E. ",Cue integration during sentence comprehension: Electrophysiological evidence from ellipsis,PLoS ONE  ,https://pure.mpg.de/rest/items/item_3058563_3/component/file_3058564/content,,,
01/01/2018,"Doumas, L. A. A. & Martin, A. E. ",Learning structured representations from experience,Psychology of Learning and Motivation,https://pure.mpg.de/rest/items/item_3011567_2/component/file_3011568/content,,,
01/01/2018,"Lakens, D. et al. (Martin, A. E. is author no. 57)","Justify your alpha: A Response to ""Redefine Statistical Significance.""",Nature Human Behavior,https://www.nature.com/articles/s41562-018-0311-x.pdf,,,
01/01/2018,"Martin, A. E., & McElree, B. ",Retrieval cues and syntactic ambiguity resolution: Speed-accuracy tradeoff evidence,"Language, Cognition, and Neuroscience",https://www.tandfonline.com/doi/pdf/10.1080/23273798.2018.1427877?needAccess=true,,,
01/01/2016,"*Ito, A., Martin, A. E. & Nieuwland, M. S. ",How robust are prediction effects in language comprehension? Failure to replicate article-elicited N400 effects,"Language, Cognition, and Neuroscience",https://pure.mpg.de/rest/items/item_2353036_3/component/file_2353035/content,,,
01/01/2016,"Martin, A. E.**, Monahan, P. J.**, & Samuel, A. G. ",Prediction of agreement and phonetic overlap shape sublexical identification,Language and Speech,https://journals.sagepub.com/doi/pdf/10.1177/0023830916650714,"(**equal authorship contribution, alphabetical listing)",,
01/01/2017,"Doumas, L. A. A., Hamer, A., Puebla, G., & Martin, A. E. ",A theory of the detection and learning of stimulus similarity and magnitude,Proceedings of the 39th Annual Conference of the Cognitive Science Society,https://pure.mpg.de/rest/items/item_2492173_3/component/file_2492172/content,,,
01/01/2017,"*Ito, A., Martin, A. E., & Nieuwland, M. S. ","Why the A/AN prediction effect may be hard to replicate: A rebuttal to Delong, Urbach, & Kutas ","Language, Cognition and Neuroscience",https://pure.mpg.de/rest/items/item_2430395_7/component/file_2470936/content,,,
01/01/2017,"Martin, A. E., Huettig, F., & Nieuwland, M. S. ","Can structural priming answer the important questions about language? Comment on target article ""An experimental approach to linguistic representation"" by Branigan & Pickering",Behavioral and Brain Sciences,https://pure.mpg.de/rest/items/item_2408235_9/component/file_2503027/content,,,
01/01/2017,"Martin, A. E. & Doumas, L. A. A. ",A mechanism for the cortical computation of hierarchical linguistic structure,PLoS Biology,https://pure.mpg.de/rest/items/item_2404395_5/component/file_2404394/content,"[simulations runnable at: <a href=""https://osf.io/eb2vp/"" target=""_blank"">OSF</a> and <a href=""https://github.com/AlexDoumas/dingetal_sent"" target=""_blank"">github</a>]",,
01/01/2017,"Nieuwland, M. S., & Martin, A. E. ",Neural oscillations and a nascent cortico-hippocampal theory of reference,Journal of Cognitive Neuroscience,https://pure.mpg.de/rest/items/item_2375776_5/component/file_2425088/content,,,
01/01/2017,"*Ito, A., Martin, A. E. & Nieuwland, M. S. ",On predicting form and meaning in a second language,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://pure.mpg.de/rest/items/item_2350083_9/component/file_2459403/content,,,
01/01/2016,"Martin, A. E. ",Language processing as cue integration: Grounding the psychology of language in perception and neurophysiology,Frontiers in Psychology: Language Sciences,https://drive.google.com/file/d/0B-l2gOxfL_QIS3Z1aXBHUzRPQW8/view,,,
01/01/2016,"Doumas, L. A. A. & Martin, A. E. ",Abstraction in time: Finding hierarchical linguistic structure in a model of relational processing,Proceedings of the 38th Annual Conference of the Cognitive Science Society,https://www.research.ed.ac.uk/portal/files/26890295/D_M_cogsci16.pdf,,,
01/01/2014,"Martin, A. E., Nieuwland, M. S., & Carreiras, M. ",Agreement attraction during comprehension of grammatical sentences: ERP evidence from ellipsis,Brain and Language,https://drive.google.com/file/d/0B-l2gOxfL_QIdFdUdmdkOXNqLVE/view,,,
01/01/2013,"Nieuwland, M. S., Martin, A. E., & Carreiras, M. ",Event-related brain potential evidence for animacy processing asymmetries during sentence comprehension,Brain and Language,https://docs.google.com/file/d/0B-l2gOxfL_QIN0hzSkhybEpGV0E/edit,,,
01/01/2013,"Davidson, D. J. & Martin, A. E. ",Modelling accuracy as a function of response time with the generalized linear mixed effects model,Acta Psychologica,https://docs.google.com/file/d/0B-l2gOxfL_QIdnZwMzh0Y2RPeUU/edit,,,
01/01/2012,"Nieuwland, M. S., Martin, A. E., & Carreiras, M. ",Brain regions that process case: Evidence from Basque,Human Brain Mapping,https://docs.google.com/file/d/0B-l2gOxfL_QIQkJqeDdYTkxTMms/edit,,,
01/01/2012,"Martin, A. E., Nieuwland, M. S., & Carreiras, M. ",Event-related brain potentials index cue-based retrieval interference during sentence comprehension,NeuroImage,https://drive.google.com/file/d/0B-l2gOxfL_QIZGJmYTAxZTQtNzQ4Mi00MWM2LTkxNmUtMmM3MzM0ZjI4ZWVk/view,,,
01/01/2012,"Nieuwland, M. S. & Martin, A. E.","If the real-world were irrelevant, so to speak: The role of propositional truth-value in counterfactual sentence comprehension",Cognition,https://drive.google.com/file/d/0B-l2gOxfL_QIYmMxOTJmMGUtZTI4Yy00ODdlLWJmMzAtZDczYjgyMzhkODll/view,,,
01/01/2011,"Martin, A. E. & McElree, B. ",Direct-access retrieval during sentence comprehension: Evidence from Sluicing,Journal of Memory and Language,https://drive.google.com/file/d/0B-l2gOxfL_QIZTUwODAwMDUtNzc3Ny00Y2JmLThkZTMtNjg0MzkxMDMxNGFh/view,,,
01/01/2009,"Martin, A. E. & McElree, B. ",Memory operations that support language comprehension: Evidence from verb-phrase ellipsis,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://drive.google.com/file/d/0B-l2gOxfL_QIMTQ2M2VmOTEtZTU0Ny00NzdhLThjMGYtZTE2NDRjNjRkMzdj/view,,,
01/01/2009,"Pylkkanen, L., Martin, A. E., McElree, B., & Smart, A. ",The Anterior Midline Field: Coercion or decision making?,Brain and Language,https://drive.google.com/file/d/0B-l2gOxfL_QINzk1ZmY2NzUtYTEyNy00ZTNmLWI4MTUtMDI2MTU4YzVmMTdm/view,,,
01/01/2008,"Martin, A. E. & McElree, B. ",A content-addressable pointer mechanism underlies comprehension of verb-phrase ellipsis,Journal of Memory and Language,https://drive.google.com/file/d/0B-l2gOxfL_QIYjJiZjg1NTEtYTExOC00NWRkLTllYjEtNmQyNDcyZmU5YzJm/view,,,
01/01/2008,"Ashby, J., Martin, A. E.",Prosodic phonological representations in early visual word recognition,Journal of Experimental Psychology: Human Perception and Performance,https://drive.google.com/file/d/0B-l2gOxfL_QIMmQwM2M0NjAtNGZhOC00NTk0LWIwZmQtYTIzM2MwYjRlMTAx/view,,,
,"Foraker, S., Cunnings, I., & Martin, A. E.",Speed-accuracy tradeoff modeling and its interface with experimental syntax,,,,psyarxiv,https://psyarxiv.com/8zpaj
,"Doumas, L. A. A., Puebla, G., & Martin, A. E. ",Human-like generalization in a machine through predicate learning,,,,arxiv,https://arxiv.org/abs/1806.01709
,"Doumas, L. A. A., Puebla, G., & Martin, A. E.",How we learn things we didn't know already: A theory of learning structured representations from experience,,,,biorxiv,https://www.biorxiv.org/content/10.1101/198804v1.abstract
,"Kaushik, K. R., & Martin, A. E.",Modelling compositionality and structure dependence in natural language,,,,arxiv,https://arxiv.org/abs/2012.02038
,"Kaushik, K. R., & Martin, A. E.","A mathematical neural process model of language comprehension, from syllable to sentence",,,,psyarxiv,https://psyarxiv.com/xs5kr
,"*Slaats, S. & Martin, A. E.",What's surprising about surprisal,,,,psyarxiv,https://psyarxiv.com/7pvau/
,"*Ding, R., Ten Oever, S., & Martin, A. E.",Pronoun resolution via reinstatement of referent-related activity in the delta band,,,,biorxiv,https://www.biorxiv.org/content/10.1101/2023.04.16.537082v1.abstract
,"*Ten Oever, S., Titone, L., te Rietmolen, N., & Martin, A. E.",Phase-dependent word perception emerges from region-specific sensitivity to the statistics of language,,,,biorxiv,https://www.biorxiv.org/content/10.1101/2023.04.17.537171v1.abstract
,"*Weissbart, H. & Martin, A. E.",The Structure and Statistics of Language jointly shape Cross-frequency Dynamics during Spoken Language Comprehension,,,,biorxiv,https://www.biorxiv.org/content/10.1101/2023.10.06.561087v1.full.pdf
,"*Zhao, J., Martin, A. E., & Coopmans, C. W.",Structural and sequential regularities modulate phrase-rate neural tracking,,,,biorxiv,https://www.biorxiv.org/content/biorxiv/early/2024/01/16/2024.01.15.575585.full.pdf
